('British Airways', '2019-02-24T16:17', '2019-02-25T17:20', '1503', '4184', '200', 'BA 1425', 'E-170', '477', '14', '15'), 
('Alaska Airlines', '2019-12-28T22:51', '2019-12-29T21:02', '1331', '4902', '500', 'AS 1736', 'A321', '364', '7', '17'), 
('Frontier Airlines', '2018-09-23T15:14', '2018-09-23T22:03', '409', '5120', '500', 'F9 1491', 'A220', '487', '10', '16'), 
('Air Canada', '2019-10-08T08:49', '2019-10-09T15:51', '1862', '9386', '1000', 'AC 1585', 'Boeing 787', '167', '8', '20'), 
('Frontier Airlines', '2019-04-10T10:42', '2019-04-10T18:18', '456', '5496', '500', 'F9 1557', 'E-195', '235', '3', '9'), 
('JetBlue Airways', '2019-06-25T02:43', '2019-06-26T13:19', '2076', '1750', '200', 'B6 1032', 'SR-71 Blackbird', '292', '10', '28'), 
('Finnair', '2019-06-10T14:50', '2019-06-11T20:44', '1794', '2029', '200', 'FA 1392', 'A340', '173', '22', '9'), 
('Alaska Airlines', '2018-02-25T13:39', '2018-02-26T12:07', '1348', '787', '200', 'AS 1021', 'A310', '213', '26', '22'), 
('Lufthansa', '2019-02-26T07:38', '2019-02-27T03:38', '1200', '6870', '300', 'LH 943', 'A380', '189', '9', '15'), 
('JetBlue Airways', '2018-01-09T22:51', '2018-01-10T17:11', '1100', '5287', '200', 'B6 568', 'E-175', '318', '5', '14'), 
('Alaska Airlines', '2018-11-16T13:37', '2018-11-16T17:37', '240', '6976', '500', 'AS 1749', 'E-190', '492', '8', '3'), 
('SAS', '2018-09-27T22:31', '2018-09-28T18:26', '1195', '8923', '200', 'SA 1604', 'E-170', '278', '8', '17'), 
('Finnair', '2019-04-16T18:32', '2019-04-17T08:11', '819', '2610', '200', 'FA 1780', 'A321', '549', '2', '18'), 
('JetBlue Airways', '2018-08-22T11:10', '2018-08-23T03:19', '969', '5211', '500', 'B6 755', 'CRJ1000', '110', '9', '10'), 
('JetBlue Airways', '2018-05-11T17:09', '2018-05-12T07:15', '846', '737', '500', 'B6 1879', 'Millennium Falcon', '198', '27', '11'), 
('Finnair', '2018-09-13T17:34', '2018-09-13T22:13', '279', '8118', '300', 'FA 103', 'Boeing 777', '475', '24', '5'), 
('Delta Air Lines', '2018-02-24T14:45', '2018-02-24T19:49', '304', '2716', '1000', 'DL 433', 'A340', '146', '12', '26'), 
('American Airlines', '2018-09-28T07:52', '2018-09-28T10:30', '158', '7473', '1000', 'AA 1751', 'CRJ1000', '460', '26', '17'), 
('Frontier Airlines', '2019-11-10T00:11', '2019-11-11T10:27', '2056', '8673', '500', 'F9 749', 'A310', '76', '10', '19'), 
('Norwegian', '2018-08-19T15:42', '2018-08-20T12:13', '1231', '2974', '1000', 'NW 1927', 'E-175', '561', '0', '28'), 
('Alaska Airlines', '2018-03-29T16:40', '2018-03-30T12:56', '1216', '8450', '300', 'AS 197', 'A318', '355', '11', '4'), 
('Finnair', '2018-09-02T01:18', '2018-09-03T14:41', '2243', '3820', '1000', 'FA 613', 'A340', '575', '24', '26'), 
('Delta Air Lines', '2018-05-16T10:55', '2018-05-16T23:24', '749', '1375', '500', 'DL 1944', 'E-195', '395', '0', '3'), 
('JetBlue Airways', '2018-07-12T12:37', '2018-07-13T10:03', '1286', '2920', '500', 'B6 1349', 'E-170', '452', '11', '27'), 
('Frontier Airlines', '2018-03-06T12:20', '2018-03-06T17:06', '286', '3343', '1000', 'F9 1013', 'CRJ900', '436', '11', '3'), 
('American Airlines', '2018-04-09T16:35', '2018-04-10T07:51', '916', '1498', '300', 'AA 920', 'Boeing 787', '110', '16', '9'), 
('JetBlue Airways', '2018-01-25T11:50', '2018-01-25T16:01', '251', '5003', '300', 'B6 810', 'E-190', '95', '5', '27'), 
('JetBlue Airways', '2018-07-20T18:45', '2018-07-20T22:21', '216', '4612', '500', 'B6 1401', 'Millennium Falcon', '437', '6', '5'), 
('Air Canada', '2019-10-23T21:58', '2019-10-23T23:31', '93', '3743', '200', 'AC 984', 'A321', '65', '9', '17'), 
('WOW Air', '2018-11-09T02:16', '2018-11-10T07:30', '1754', '8250', '300', 'WA 862', 'A310', '272', '22', '6'), 
('Frontier Airlines', '2018-03-22T17:06', '2018-03-23T15:59', '1373', '9086', '200', 'F9 576', 'A310', '508', '27', '21'), 
('Delta Air Lines', '2019-06-09T04:07', '2019-06-09T16:11', '724', '9813', '500', 'DL 557', 'A340', '508', '27', '4'), 
