('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Norwegian', '2020-09-10T02:11', '2020-09-10T06:55', '284', '3829', '1000', 'NW 658', 'Boeing 747', '461', '1', '24'), 
('British Airways', '2020-02-12T02:40', '2020-02-12T10:23', '463', '930', '500', 'BA 1690', 'A330', '528', '14', '27'), 
('SAS', '2020-10-19T19:09', '2020-10-19T21:59', '170', '4984', '500', 'SA 580', 'CRJ700', '200', '13', '2'), 
('American Airlines', '2020-03-22T08:51', '2020-03-22T18:10', '559', '3819', '300', 'AA 1138', 'A319', '134', '10', '12'), 
('Lufthansa', '2020-05-27T02:41', '2020-05-28T10:03', '1882', '5689', '500', 'LH 863', 'A318', '563', '25', '20'), 
('SAS', '2020-03-19T17:53', '2020-03-20T18:01', '1448', '6020', '300', 'SA 596', 'E-195', '517', '8', '18'), 
('JetBlue Airways', '2020-05-07T08:34', '2020-05-07T19:57', '683', '5024', '300', 'B6 1062', 'A321', '500', '28', '11'), 
('Lufthansa', '2020-05-07T01:21', '2020-05-08T03:19', '1558', '706', '200', 'LH 616', 'Boeing 747', '260', '28', '27'), 
('Air Canada', '2020-06-08T01:39', '2020-06-08T18:37', '1018', '9451', '500', 'AC 154', 'Boeing 747', '155', '19', '24'), 
('SAS', '2020-09-07T17:40', '2020-09-08T01:28', '468', '6488', '500', 'SA 697', 'Boeing 767', '210', '16', '15'), 
('Frontier Airlines', '2020-07-20T16:51', '2020-07-20T22:35', '344', '4484', '300', 'F9 1686', 'A340', '517', '9', '16'), 
('Frontier Airlines', '2020-09-07T09:59', '2020-09-08T00:14', '855', '9348', '1000', 'F9 332', 'A318', '411', '28', '17'), 
('Frontier Airlines', '2020-05-29T23:52', '2020-05-30T18:08', '1096', '8013', '200', 'F9 1997', 'E-175', '449', '4', '27'), 
('British Airways', '2020-03-10T08:41', '2020-03-11T20:27', '2146', '8339', '500', 'BA 870', 'CRJ900', '307', '18', '26'), 
('JetBlue Airways', '2020-03-10T19:22', '2020-03-10T23:05', '223', '4312', '300', 'B6 899', 'E-175', '267', '11', '18'), 
('Air Canada', '2020-07-12T15:01', '2020-07-12T22:21', '440', '6588', '300', 'AC 911', 'A310', '174', '17', '26'), 
('Finnair', '2020-08-15T20:55', '2020-08-15T22:03', '68', '5905', '500', 'FA 661', 'CRJ700', '451', '2', '10'), 
('Lufthansa', '2020-11-27T13:29', '2020-11-27T22:06', '517', '4252', '200', 'LH 133', 'Boeing 777', '146', '11', '3'), 
('SAS', '2020-05-08T19:20', '2020-05-09T17:08', '1308', '5444', '500', 'SA 1726', 'E-170', '158', '21', '3'), 
('Air Canada', '2020-12-21T21:43', '2020-12-21T23:46', '123', '7495', '500', 'AC 1174', 'A220', '457', '9', '13'), 
('Lufthansa', '2020-03-25T12:03', '2020-03-25T15:33', '210', '9819', '300', 'LH 918', 'E-170', '135', '14', '26'), 
